rank,amfi_code,return_rank,sharpe_rank,alpha_rank,expense_rank,dd_rank,score,scheme_name
1,148567,39.0,1,7,18.0,8,88.12,Mirae Asset Large Cap Fund - Regular - Growth
2,148569,33.0,3,4,4.5,21,85.69,Mirae Asset Tax Saver Fund - Regular - Growth
3,120843,34.0,2,5,19.0,13,83.12,Kotak Flexicap Fund - Regular - Growth
4,119551,35.0,4,10,10.5,17,82.31,SBI Bluechip Fund - Regular Plan - Growth
5,101206,32.0,9,12,4.5,9,80.19,ABSL Frontline Equity Fund - Regular - Growth
6,149323,30.0,6,8,3.0,22,79.88,DSP Midcap Fund - Regular - Growth
7,100033,37.0,7,6,24.0,20,78.12,HDFC Mid-Cap Opportunities Fund - Regular - Growth
8,120505,36.0,5,3,26.0,25,78.12,ICICI Pru Midcap Fund - Regular - Growth
9,119094,40.0,11,9,24.0,28,74.38,Axis Midcap Fund - Regular - Growth
10,120504,38.0,10,13,29.0,12,73.62,ICICI Pru Bluechip Fund - Direct - Growth
11,149324,31.0,13,2,14.5,37,71.19,DSP Small Cap Fund - Regular - Growth
12,118632,27.0,8,11,16.5,23,69.56,Nippon India Large Cap Fund - Regular - Growth
13,119598,29.0,14,1,20.0,36,67.75,SBI Small Cap Fund - Regular Plan - Growth
14,102885,23.0,16,19,7.0,7,65.12,UTI Nifty 50 Index Fund - Regular - Growth
15,102887,28.0,22,21,1.5,30,60.44,UTI Flexi Cap Fund - Regular - Growth
16,148568,17.0,15,14,14.5,19,57.94,Mirae Asset Emerging Bluechip Fund - Regular - Growth
17,125497,22.0,18,16,27.0,18,54.38,HDFC Top 100 Fund - Direct Plan - Growth
18,119552,18.0,12,15,37.0,11,53.62,SBI Bluechip Fund - Direct Plan - Growth
19,118635,24.0,19,23,28.0,10,53.38,Nippon India ETF Nifty 50 BeES
20,120503,16.0,17,17,21.0,14,53.25,ICICI Pru Bluechip Fund - Regular - Growth
21,149322,20.0,25,24,10.5,16,51.19,DSP Top 100 Equity Fund - Regular - Growth
22,120841,19.0,24,25,6.0,24,50.25,Kotak Bluechip Fund - Regular - Growth
23,120506,21.0,20,20,22.0,27,50.0,ICICI Pru Value Discovery Fund - Regular - Growth
24,118633,26.0,21,22,35.5,26,47.31,Nippon India Large Cap Fund - Direct - Growth
25,118634,14.0,26,18,12.5,32,44.31,Nippon India Small Cap Fund - Regular - Growth
26,119093,25.0,29,28,33.0,31,38.25,Axis Bluechip Fund - Direct - Growth
27,120507,12.0,23,31,34.0,1,37.88,ICICI Pru Liquid Fund - Regular - Growth
28,120842,13.0,30,29,8.0,33,37.0,Kotak Emerging Equity Fund - Regular - Growth
29,119092,5.0,31,30,1.5,15,36.81,Axis Bluechip Fund - Regular - Growth
30,125498,15.0,27,26,31.0,29,34.25,HDFC Mid-Cap Opportunities Fund - Direct - Growth
31,101207,2.0,28,27,12.5,38,28.06,ABSL Small Cap Fund - Regular - Growth
32,120844,11.0,34,32,38.0,2,28.0,Kotak Liquid Fund - Regular - Growth
33,101208,10.0,40,33,30.0,3,25.75,ABSL Liquid Fund - Regular - Growth
34,119120,9.0,37,34,32.0,5,25.12,SBI Magnum Gilt Fund - Regular Plan - Growth
35,100016,6.0,35,39,9.0,34,23.0,HDFC Top 100 Fund - Regular Plan - Growth
36,118636,8.0,38,35,40.0,6,20.0,Nippon India Gilt Securities Fund - Regular - Growth
37,100025,7.0,39,38,39.0,4,18.0,HDFC Short Term Debt Fund - Regular - Growth
38,102886,4.0,36,40,16.5,35,17.31,UTI Mid Cap Fund - Regular - Growth
39,119095,1.0,33,37,24.0,39,14.62,Axis Small Cap Fund - Regular - Growth
40,119599,3.0,32,36,35.5,40,12.69,SBI Small Cap Fund - Direct Plan - Growth
